siret,siren,nic
91773955900016,917739559,00016
91776442500018,917764425,00018
91786299700017,917862997,00017
91793949800023,917939498,00023
91796231800015,917962318,00015
91797237400016,917972374,00016
91799335400013,917993354,00013
91800086000018,918000860,00018
80149414700011,801494147,00011
89450321800022,894503218,00022
91800096900017,918000969,00017
89451263100017,894512631,00017
91800228800010,918002288,00010
43807620000023,438076200,00023
91800422700016,918004227,00016
91800602400015,918006024,00015
91801547000019,918015470,00019
91816086200010,918160862,00010
91818145400011,918181454,00011
89090073100021,890900731,00021
91819992800014,918199928,00014
91830036900017,918300369,00017
89473628900022,894736289,00022
38370431900037,383704319,00037
91835492900013,918354929,00013
84094101700039,840941017,00039
91835524900015,918355249,00015
91835843300012,918358433,00012
84102206400015,841022064,00015
89481081100014,894810811,00014
91842690900019,918426909,00019
91846260700014,918462607,00014
91851732700022,918517327,00022
89485581600019,894855816,00019
91854758900013,918547589,00013
78624010100018,786240101,00018
85265339300011,852653393,00011
91862401600013,918624016,00013
91864256200014,918642562,00014
91865405400017,918654054,00017
89491702000014,894917020,00014
91865981400019,918659814,00019
91867223900012,918672239,00012
91869003300017,918690033,00017
88082255600010,880822556,00010
91870990800019,918709908,00019
91872546600018,918725466,00018
84121449700023,841214497,00023
89497233000019,894972330,00019
91885395300019,918853953,00019
43209967900040,432099679,00040
91890597700016,918905977,00016
91891208000010,918912080,00010
43221698400067,432216984,00067
91895902400012,918959024,00012
91897073200015,918970732,00015
91898826200013,918988262,00013
91900011700011,919000117,00011
89511302500020,895113025,00020
89512023600016,895120236,00016
91907439300019,919074393,00019
91912745600011,919127456,00011
91915826100017,919158261,00017
91916010100011,919160101,00011
89514298200019,895142982,00019
91919412600018,919194126,00018
89516045500013,895160455,00013
91928893600017,919288936,00017
91935345800012,919353458,00012
53099159500014,530991595,00014
92028492400015,920284924,00015
89518621100028,895186211,00028
89518621100036,895186211,00036
89525714500014,895257145,00014
84154019800014,841540198,00014
38440997500040,384409975,00040
89525770700011,895257707,00011
78803676200037,788036762,00037
89528502100013,895285021,00013
38445913700046,384459137,00046
84166034300028,841660343,00028
89532440800015,895324408,00015
38465538700023,384655387,00023
43287506000019,432875060,00019
38465906600037,384659066,00037
84167697600019,841676976,00019
89540461400011,895404614,00011
90517278900018,905172789,00018
89739259300017,897392593,00017
38531464600063,385314646,00063
88017873600018,880178736,00018
30644513100031,306445131,00031
81957894900029,819578949,00029
49822808900039,498228089,00039
89760378300027,897603783,00027
